positionName,city,district,linestaion,companyFullName,companyShortName,industryField,financeStage,positionAdvantage,companyLabelList,education,salary,workYear,lastLogin,companySize,skillLables
大数据开发工程师,杭州,西湖区,2号线_学院路;2号线_古翠路;2号线_丰潭路,浙江百世技术有限公司,百世物流,物流丨运输,D轮及以上,"数据量大,业务价值高,弹性工作,朝阳企业",技能培训 节日礼物 年底双薪 带薪年假,本科,13k-25k,不限,2020-04-13 18:56:03,2000人以上,Hadoop Spark 数据分析
大数据开发工程师,杭州,余杭区,无具体路线！,北京数美时代科技有限公司,数美,"企业服务,数据服务",C轮,"快速发展,待遇好,氛围好,六险一金",年底双薪 大数据 带薪年假 通讯津贴,不限,15k-30k,应届毕业生,2020-04-13 22:02:01,150-500人,Spark Hadoop Storm
大数据开发工程师,北京,朝阳区,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京,上海宏路数据技术股份有限公司,Hypers,移动互联网,上市公司,"氛围好,环境好，地铁周边，六险一金",绩效奖金 五险一金 带薪年假 年度旅游,本科,12k-18k,1-3年,2020-04-13 20:21:25,150-500人,Hadoop 数据仓库
大数据开发工程师,苏州,吴中区,2号线_独墅湖邻里中心;2号线_月亮湾;2号线_松涛街,苏州海管家物流科技有限公司,海管家,"消费生活,电商",天使轮,五险一金 周末双休 年底双薪,年底双薪 股票期权 带薪年假 交通补助,本科,15k-25k,5-10年,2020-04-13 19:29:39,50-150人,Oracle MySQL
大数据开发工程师,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_知春路,北京搜狐新媒体信息技术有限公司,搜狐集团,"移动互联网,广告营销",上市公司,广告平台，大数据平台,节日礼物 项目奖金 弹性工作时间 15天年假,本科,20k-40k,3-5年,2020-04-13 18:31:52,2000人以上,Scala Hadoop Java
大数据开发工程师,上海,浦东新区,2号线_上海科技馆;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线),上海蒙玺投资管理有限公司,蒙玺投资,金融,不需要融资,发展前景好、免费班车、上班氛围轻松愉悦,绩效奖金 交通补助 带薪年假,本科,20k-30k,1-3年,2020-04-13 16:54:11,15-50人,系统运维 数据库开发 MySQL Oracle
大数据开发工程师,深圳,福田区,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫,广州光点信息科技有限公司,光点科技,"移动互联网,数据服务",未融资,五险一金 周末双休 年终奖 下午茶,学习培训 管理规范 节日礼物 五险一金,本科,8k-13k,1-3年,2020-04-13 18:28:35,50-150人,ETL
大数据开发工程师,北京,朝阳区,八通线_双桥,北京亿玛创新网络科技有限公司,亿玛在线-互联网营销领航者,"移动互联网,电商",上市公司,"扁平管理,地铁附近,福利佳",技能培训 绩效奖金 年度旅游 岗位晋升,本科,18k-25k,3-5年,2020-04-13 18:31:38,500-2000人,
大数据开发工程师,北京,朝阳区,14号线东段_来广营;14号线东段_东湖渠,北京圣承方略咨询有限公司,圣承,"移动互联网,教育",未融资,双休、团建、多元化集团公司,,本科,15k-30k,5-10年,2020-04-13 18:21:53,50-150人,Hive Spark Scala Redis
大数据开发工程师,深圳,龙岗区,5号线/环中线_五和;5号线/环中线_坂田,上海兆殷特科技有限公司,兆殷特,"移动互联网,企业服务",未融资,发展前景,节日礼物 股票期权 带薪年假 绩效奖金,本科,16k-25k,1-3年,2020-04-13 18:57:40,50-150人,Spark
